Ilhas and SaoSebastiao Fms, Brazil - sed. structures
Murphy & Schlanger, 1962, AAPG - 15 degr classes
Azim   L2    L4    L7    L8    L9    L10    L11
97.5    0     0     2     0     0     3      0
112.5   0     0     4     0     0     4      0
127.5   1     1     16    0     0     4      0
142.5   1     0     15    2     0     2      0
157.5   15    9     6     3     0     2      0
172.5   15    14    5     0     3     2      3
187.5   8     6     1     1     6     3      1
202.5   1     5     0     3     6     2      8
217.5   0     3     3     12    11    0      4
232.5   0     1     3     1     1     0      3
247.5   0     1     3     1     0     0      0
262.5   0     1     0     0     1     3      1
277.5   0     2     1     0     1     5      1
292.5   0     0     0     0     0     2      0
307.5   0     0     0     0     0     1      0
322.5   0     0     0     0     1     0      0
7.5     1     0     0     0     0     0      0
