20220527_file_order	trial_number	Hz	LV	
10Hz_LV_1.00_gamma_	1	10	1	
10Hz_LV_0.00_WCCV_	1	10	0	
10Hz_LV_0.39_gamma_	1	10	0.39	
10Hz_LV_1.28_exponential_	1	10	1.28	
10Hz_LV_0.39_gamma_	2	10	0.39	
10Hz_LV_0.00_WCCV_	2	10	0	
10Hz_LV_0.00_WCCV_	3	10	0	
10Hz_LV_0.39_gamma_	3	10	0.39	
10Hz_LV_1.00_gamma_	2	10	1	
10Hz_LV_0.00_WCCV_	4	10	0	
10Hz_LV_1.28_exponential_	2	10	1.28	
10Hz_LV_1.00_gamma_	3	10	1	
10Hz_LV_0.39_gamma_	4	10	0.39	
10Hz_LV_1.28_exponential_	3	10	1.28	
10Hz_LV_1.00_gamma_	4	10	1	
10Hz_LV_1.00_gamma_	5	10	1	
10Hz_LV_0.00_WCCV_	5	10	0	
10Hz_LV_1.28_exponential_	4	10	0	
10Hz_LV_1.28_exponential_	5	10	1.28	
10Hz_LV_0.39_gamma_	5	10	1.28	
20Hz_LV_0.38_gamma_	1	20	0.38	
20Hz_LV_0.38_gamma_	2	20	0.38	
20Hz_LV_1.24_optimize_	1	20	1.24	
20Hz_LV_0.00_WCCV_	1	20	0	
20Hz_LV_0.38_gamma_	3	20	0.38	
20Hz_LV_1.01_gamma_	1	20	1.01	
20Hz_LV_1.24_optimize_	2	20	1.24	
20Hz_LV_1.24_optimize_	3	20	1.24	
20Hz_LV_0.00_WCCV_	2	20	0	
20Hz_LV_1.01_gamma_	2	20	1.01	
20Hz_LV_1.01_gamma_	3	20	1.01	
20Hz_LV_1.01_gamma_	4	20	1.01	
20Hz_LV_1.24_optimize_	4	20	1.24	
20Hz_LV_0.00_WCCV_	3	20	0	
20Hz_LV_1.01_gamma_	5	20	1.01	
20Hz_LV_0.38_gamma_	4	20	0.38	
20Hz_LV_0.00_WCCV_	4	20	0	
20Hz_LV_0.00_WCCV_	5	20	0	
20Hz_LV_1.24_optimize_	5	20	1.24	
20Hz_LV_0.38_gamma_	5	20	0.38	
				
